id,title,price,userRate,recommendationCount,description,"کیفیت ساخت","سهولت در استفاده","امکانات و قابلیت ها","ارزش خرید به نسبت قیمت"
195792,"Wensoni Dep Joker PlayStation 4 Horizontal Cover
برچسب افقي پلي استيشن 4 ونسوني طرح Dep Joker","36,000",۳.۶,0,,4,4,4,3
195789,"Wensoni MIX3 PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح MIX3","36,000",,0,
195788,"Wensoni MIX3 PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح MIX3","59,000",,0,
195785,"Wensoni Roar Of The King PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح Roar Of The King","59,000",,0,
195784,"Wensoni Roar Of The King PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح Roar Of The King","59,000",,0,
195780,"Wensoni The Last of The People PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح The Last of The People","59,000",,0,
195779,"Wensoni Scorpion PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح Scorpion","59,000",,0,
195778,"Wensoni Scorpion PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح Scorpion","59,000",,0,
195777,"Wensoni The Last of The People PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح The Last of The People","59,000",,0,
195774,"Wensoni The Gentleman becomes a Hipster PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح The Gentleman becomes a Hipster","59,000",,0,
195773,"Wensoni The Gentleman becomes a Hipster PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح The Gentleman becomes a Hipster","59,000",,0,
195772,"Wensoni Scorpion Art PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح Scorpion Art","59,000",,0,
195771,"Wensoni Scorpion Art PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح Scorpion Art","59,000",,0,
195770,"Wensoni Super Mario Father PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح Super Mario Father","59,000",,0,
195769,"Wensoni Super Mario Father PlayStation 4 Horizontal Cover
برچسب افقی پلی استیشن 4 ونسونی طرح Super Mario Father","59,000",,0,
195768,"Wensoni Red Knight PlayStation 4 Vertical Cover
برچسب عمودی پلی استیشن 4 ونسونی طرح Red Knight","59,000",,0,
