id,title,price,userRate,recommendationCount,"کیفیت عمومی عکس و فیلم","کیفیت ساخت",ارگونومی,"امکانات و قابلیت ها","ارزش در برابر قیمت"
98515,"1,679,000","دوربين ديجيتال سوني مدل سايبرشات DSC-HX90V
Sony Cybershot DSC-HX90V Digital Camera",۳.۳,0,3.5,3.2,3.2,3.4,2.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
89075,"3,050,000","دوربين ديجيتال کانن 750D / Rebel T6i / Kiss X8i kit 18-135
Canon EOS 750D / Rebel T6i / Kiss X8i kit 18-135 Digital Camera",۳.۷,0,3.8,3.7,3.7,3.7,3.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
83407,"869,000","دوربين ديجيتال کانن مدل Powershot SX610 HS
Canon Powershot SX610 HS Digital Camera",۳.۶,0,3.6,3.6,3.4,3.5,3.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
83400,"1,089,000","دوربين ديجيتال کانن مدل Powershot SX710 HS
Canon Powershot SX710 HS Digital Camera",۳.۸,0,3.8,3.9,3.8,3.8,3.7,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
78447,"530,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax wide 300
Fujifilm Instax wide 300 Digital Camera",۳.۵,0,3.4,3.6,3.6,3.3,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
78446,"640,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax mini 90 Neo Classic
Fujifilm Instax mini 90 Neo Classic Digital Camera",۳.۷,0,3.7,3.8,3.8,3.6,3.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
78444,"420,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax mini 25
Fujifilm Instax mini 25 Digital Camera",۳.۲,0,3.2,3.3,3.2,3.1,3.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
78443,"420,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax mini Hello kitty
Fujifilm Instax mini Hello Kitty Digital Camera",۳.۵,0,3.5,3.5,3.5,3.4,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
65153,"3,369,000","دوربين ديجيتال کانن مدل EOS 760D به همراه لنز 18-135 IS STM
Canon EOS 760D / Rebel T6s Kit 18-135 IS STM Digital Camera",۴.۱,0,4.1,4,4.1,4.1,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
62880,"10,380,000","دوربين ديجيتال کانن مدل EOS 5DS R بدنه
Canon EOS 5DS R Body Digital Camera",۴.۱,0,4.3,4.1,4,4,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
62879,"9,400,000","دوربين ديجيتال کانن مدل EOS 5DS بدنه
Canon EOS 5DS Body Digital Camera",۴.۳,0,4.3,4.5,4.4,4.3,3.7,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
57779,"2,759,000","دوربين ديجيتال نيکون مدل D5300+ lens kit 18-140 VR
Nikon D5300 kit 18-140 VR Digital Camera",۴.۱,0,4.1,4,4,4.1,4.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
57779,"2,759,000","دوربين ديجيتال نيکون مدل D5300+ lens kit 18-140 VR
Nikon D5300 kit 18-140 VR Digital Camera",۴.۱,0,4.1,4,4,4.1,4.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
45481,"3,149,000","دوربين ديجيتال نيکون مدل D7100 کيت 18-140
Nikon D7100 kit 18-140 Digital Camera",۴.۲,0,4.2,4.3,4.1,4,4.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
43740,"8,369,000","دوربين ديجيتال نيکون مدل D750 + 24-120 F/4 VR
Nikon D750 + 24-120 F/4 VR Digital Camera",۴.۵,0,4.5,4.5,4.5,4.5,4.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
43682,"1,447,000","دوربين ديجيتال کانن مدل Powershot SX60 HS
Canon Powershot SX60 HS Digital Camera",۳.۸,0,3.8,4.2,3.9,3.7,2.7,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
38439,"679,000","دوربين ديجيتال سامسونگ مدل WB350F
Samsung WB350F Digital Camera",۳.۷,0,3.6,3.9,3.7,3.6,3.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
38437,"705,000","دوربين ديجيتال سامسونگ مدل WB2100
Samsung WB2100 Digital Camera",۳.۷,0,3.8,3.8,3.6,3.6,3.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
35319,"8,599,000","دوربين ديجيتال نيکون D810
Nikon D810 Body",۴.۶,0,4.7,4.6,4.5,4.5,4.2,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
34523,"1,999,000","دوربين ديجيتال سوني مدل Cyber-shot DSC-HX400V
Sony Cyber-shot DSC-HX400V Digital Camera",۴,0,4,4.2,4.1,4.1,3.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
34232,"497,000","دوربين ديجيتال نيکون مدل Coolpix S4400
Nikon Coolpix S4400 Digital Camera",۳.۹,0,3.9,3.9,4,3.8,3.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
26318,"1,899,000","دوربين ديجيتال کانن مدل Powershot G1X Mark II
Canon Powershot G1X Mark II Digital Camera",۴.۱,0,4.3,4.3,4,4.1,3.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
25946,"259,000","دوربين ديجيتال سامسونگ مدل ES95
Samsung ES95 Digital Camera",۳.۶,0,3.6,3.6,3.7,3.7,3.6,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
25932,"899,000","دوربين عکاسي کاسيو اکسيليم ZR1200
Casio Exilim ZR1200 Digital Camera",۳.۷,0,3.7,3.7,3.7,3.8,3.7,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
24095,"375,000","دوربين عکاسي چاپ سريع فوجي فيلم Instax Wide 210
Fujifilm Instax Wide 210",۵,0,3.8,3.8,3.7,3.7,3.6,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
23352,"285,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax Mini 8
Fujifilm Instax Mini 8 Digital Camera",۵,0,3.3,3.4,3.3,3.2,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
22755,"4,549,000","دوربين ديجيتال نيکون D610 بدنه تنها
Nikon D610 Body Digital Camera",۴.۳,0,4.4,4.2,4.3,4.1,4.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
20694,"607,000","دوربين ديجيتال سامسونگ مدل WB855F
Samsung WB855F Digital Camera",۳.۸,0,3.7,3.9,3.8,4,3.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
15795,"4,049,000","دوربين عکاسي کانن مدل EOS 70D+لنزSTM 18-135 ميلي متر
Canon EOS 70D+18-135mm IS STM Lens Digital Camera",۴.۲,0,4.2,4.1,4.2,4.2,3.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
14939,"1,639,000","دوربين ديجيتال کانن EOS 100D
Canon EOS 100D Kit EF S18-55 IS",۴,0,4.1,4.3,3.8,3.9,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
14934,"1,975,000","دوربين ديجيتال کانن مدل EOS 700D Kit 18-55mm IS STM
Canon EOS 700D Kit 18-55mm IS STM Digital Camera",۴,0,4.1,4,4.1,3.9,3.9,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
12041,"679,000","دوربين ديجيتال سامسونگ مدل WB800F
Samsung WB800F Digital Camera",۴.۱,0,4.2,4.2,4.3,4,3.6,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
12039,"325,000","دوربين ديجيتال سامسونگ مدل ST150F
Samsung ST150F Digital Camera",۴,0,3.9,4.1,3.9,4,4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
12038,"375,000","دوربين ديجيتال سامسونگ مدل DV150F
Samsung DV150F Digital Camera",۳.۶,0,3.7,3.5,3.6,3.6,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
12037,"379,000","دوربين ديجيتال سامسونگ مدل WB30F
Samsung WB30F Digital Camera",۴,0,4,3.9,4.1,4,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
11854,"2,365,000","دوربين ديجيتال سامسونگ مدل NX300 18-55mm
Samsung NX300 18-55mm Digital Camera",۴.۱,0,4,4.2,4.1,4.1,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
189979,"310,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax Mini 8 به همراه کاغذ چاپگر
Fujifilm Instax Mini 8 Digital Camera With Mini Film",۳.۲,0,3.3,3.1,3.2,3.1,3.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
11854,"2,365,000","دوربين ديجيتال سامسونگ مدل NX300 18-55mm
Samsung NX300 18-55mm Digital Camera",۴.۱,0,4,4.2,4.1,4.1,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
5684,"550,000","دوربين ديجيتال فوجي فيلم مدل FinePix F750EXR
Fujifilm FinePix F750EXR Digital Camera",۳.۸,0,3.7,3.5,3.9,3.9,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
4875,"1,750,000","دوربين ديجيتال سوني مدل سايبرشات DSC-RX100
Sony Cyber-Shot DSC-RX100",۴.۲,0,4.4,4.4,4.2,4.2,2.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
4130,"299,000","دوربين ديجيتال نيکون کولپيکس اس 30
Nikon Coolpix S30",۲.۴,0,2.3,2.5,2.8,2.4,2.1,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
4075,"245,000","دوربين ديجيتال فوجي فيلم مدل FinePix T400
Fujifilm FinePix T400 Digital Camera",۲.۶,0,2.5,2.9,2.7,2.7,2.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
3954,"599,000","دوربين ديجيتال فوجي فيلم مدل FinePix XP150
Fujifilm FinePix XP150 Digital Camera",۲.۷,0,2.8,2.8,2.9,2.5,2.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
3951,"13,890,000","دوربين ديجيتال نيکون مدل D4 بدون لنز
Nikon D4 Digital Camera Body Only",۴.۳,0,4.4,4.4,4.4,4.3,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
223085,"1,879,000","Zoom Q8 Camcorder
دوربین فیلمبرداری زوم مدل Q8",,0,,,,,,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
216156,"2,819,000","Sony FDR-X3000R Action Camera With Accessories
دوربين فيلمبرداري ورزشي سوني مدل FDR-X3000R به همراه لوازم جانبي",۳.۸,0,4,4,4,3.5,3,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
213435,"1,690,000","Garmin VIRB Ultra 30 Action Camera
دوربين فيلمبرداري ورزشي گارمين مدل VIRB Ultra 30",۴.۷,0,4.8,4.8,4,4.8,4.5,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
210025,"2,549,000","Sony FDR-X3000R Action Camera
دوربين فيلمبرداري ورزشي سوني مدل FDR-X3000R",۴.۴,0,4,,4,,4,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
208070,"1,599,000","GoPro Hero4 Black Action Camera With Micro SD And Handler
دوربین فیلم برداری ورزشی گوپرو مدل Hero4 Black به همراه کارت Micro SD و مونوپاد",۵,0,,,,,,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206239,"4,569,000","Sony HXR-MC2500 Camcorder
دوربين فيلم برداري سوني HXR-MC2500",۴,0,4,4,4,4,4,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
206211,"7,197,000","Sony PXW-X70 Camcorder
دوربین فیلم برداری سونی PXW-X70",۴.۳,0,4.3,4.3,4.3,4.3,4.3,"دوربين فيلم برداري",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
